CRI_LATITUDE,CRI_LONGITUDE,CRI_HORARIO,CRI_ENDERECO
-3.81676837737149,-38.4972095489502,15,"Av. Frei Cirilo"
-3.73547048461994,-38.5807013511658,19,"R. Euclydes da Cunha"
-3.75949451421242,-38.5247397422791,20,"R. Prof. Guilhon"
-3.81225083869124,-38.5895848274231,21,"Av. de Contorno Norte"
-3.71600668407645,-38.5825896263123,23,"R. Amor Perfeito"
-3.75996556701354,-38.567419052124,3,"R. Rio Grande do Sul"
-3.73780439875815,-38.4642934799194,12,"R. Dr. Miranda Leão"
-3.78899905623194,-38.4848284721375,20,"Av. Edilson Brasil Soares"
-3.78394609990496,-38.5448455810547,20,"R. Azevedo Montauri"
-3.74756822905072,-38.4667181968689,23,"R. Dr. Gilberto Studart"
-3.7703928978802,-38.6079096794128,3,"R. Cento e Quarenta e Cinco"
-3.78951291454483,-38.5403180122376,14,"R. Licânia"
-3.75092987348434,-38.4560537338257,15,"Av. Trajano Medeiros"
-3.82113602250733,-38.5065650939941,16,"R. Francisco Igor"
-3.7856589697605,-38.5712814331055,19,"R. Nereu Ramos"
-3.76876564297354,-38.6049056053162,20,"Av. Min. Albuquerque Lima"
-3.75054446267665,-38.5055351257324,20,"R. Oswaldo Cruz"
-3.74223667731448,-38.5315418243408,20,"R. Floriano Peixoto"
-3.80137439233472,-38.5346531867981,21,"R. Um"
-3.77737293041215,-38.5929751396179,22,"Travessa Luzia Moreira"
-3.72784774935042,-38.5790705680847,23,"R. Raimundo Bizarria"
-3.74955952317384,-38.5655307769775,19,"R. Prudente de Morais"
-3.71307315869164,-38.5946488380432,20,"Av. C"
-3.7129446829045,-38.5525488853455,4,"R. Rio Negro"
-3.7281475210876,-38.4664177894592,11,"Vila do Sol"
-3.78043470611496,-38.6162567138672,12,"R. Pato Branco"
-3.7655753580728,-38.5430216789246,14,"R. Theodorico Barroso"
-3.72365093430364,-38.5796070098877,16,"Travessa Solimões"
-3.72491426338781,-38.4753656387329,17,"R. do Alto Bonito"
-3.82689528528109,-38.5182595252991,19,"R. F"
-3.77949262243441,-38.5512399673462,21,"R. Antônio Simões"
-3.80400787521576,-38.492317199707,2,"R. Carlos Braga"
-3.84888289469612,-38.5219502449036,1,"R. Balvo Oliveira"
-3.83083468435862,-38.569929599762,2,"Av. Paraíso"
-3.74885293545563,-38.5306406021118,9,"R. Monsenhor Liberato"
-3.84059746473393,-38.557870388031,11,"R. Oitenta e Sete"
-3.79338825281971,-38.5991978645325,11,"R. Raimundo Pinheiro"
-3.73424999493817,-38.5191607475281,12,"Av. Heráclito Graca"
-3.76313446105898,-38.5080456733704,14,"R. Siqueira Campos"
-3.75482679543382,-38.5695862770081,18,"R. Piauí"
-3.78959855756731,-38.4992694854736,21,"R. Gisele"
-3.70333035849926,-38.5741996765137,11,"R. Daniel Bruno"
-3.76167848414468,-38.5449314117432,11,"R. Queirós Ribeiro"
-3.75773876971201,-38.5905075073242,0,"Av. Sen. Fernandes Távora"
-3.74364986286497,-38.5186886787415,20,"R. João Cordeiro"
-3.76724544156021,-38.5950136184692,5,"Travessa Beira Rio"
-3.78762876590555,-38.5388159751892,6,"R. Anita Garibaldi"
-3.71377977518672,-38.5953569412231,7,"Av. C"
-3.76176412991287,-38.5322713851929,8,"R. Alberto Montezuma"
-3.70814824014613,-38.5591149330139,10,"R. Ns. das Graças"
-3.72204500488482,-38.584520816803,12,"R. Carnaubal"
-3.76184977567265,-38.5479354858398,13,"R. Alberto Magno"
-3.72296573810984,-38.5984897613525,15,"Travessa Arthur Borges"
-3.76581088286126,-38.5865592956543,19,"R. Cuiabá"
-3.8328257867761,-38.5696077346802,19,"R. Oscar Romero"
-3.7139939012857,-38.602888584137,19,"R. Beta"
-3.75482679543382,-38.5130882263184,20,"R. Cap. Melo"
-3.78221181572572,-38.5670328140259,22,"R. Cap. Américo Menezes"
-3.75355280363246,-38.5271537303925,11,NULL
-3.74998775787664,-38.5309624671936,12,"R. Mário Mamede"
-3.73268690918341,-38.4731769561768,13,"R. José Carlos Gurgel Nogueira"
-3.72975343936779,-38.4829616546631,15,"R. Jaime Vasconcelos"
-3.82929318253065,-38.5071015357971,18,"R. Taquatiara"
-3.7466046980088,-38.5223150253296,19,"R. Pedro Teles"
-3.82603889177917,-38.4888625144959,20,"R. Eudes Cardoso"
-3.72193794281943,-38.5881686210632,8,"R. Pierre Luz"
-3.78760735510198,-38.5389018058777,15,"R. Bruno Valente"
-3.81432762482526,-38.573727607727,18,"R. Ns. da Conceição"
-3.72686278435165,-38.5701656341553,19,"R. Santa Sofia"
-3.70420828555413,-38.5773324966431,3,"R. Araquém"
-3.7587879345336,-38.5805296897888,8,"R. Antônio Ivo"
-3.75174351796461,-38.5226798057556,10,"R. João Lobo Fiho"
-3.76328434089731,-38.5111570358276,7,"Travessa Campo Verde"
-3.74836046489014,-38.5273146629334,9,"R. Carolino de Aquino"
-3.75688230769771,-38.5461974143982,10,"R. Afrodísio Gondim"
-3.74940964097829,-38.597846031189,16,"Av. da Liberdade"
-3.83117723994329,-38.5637283325195,7,"R. Dezenove de Março"
-3.75619713748097,-38.542013168335,13,"R. André Chaves"
-3.80608468124287,-38.5166501998901,13,"R. J"
-3.83736462656804,-38.5558104515076,19,"R. Noventa e Um"
-3.72508556210708,-38.5617756843567,20,"R. Maj. Veríssimo"
-3.77219143923357,-38.5747146606445,20,"R. Aluísio Azevedo"
-3.76165707270133,-38.5302543640137,22,"R. Tertuliano Sales"
-3.72427189289363,-38.5588145256042,22,"R. Dr. Almeida Filho"
-3.78854942995781,-38.5360050201416,6,"R. Betsaída"
-3.76514713102141,-38.5405111312866,10,"R. Tianguá"
-3.73459258870437,-38.5795426368713,14,"R. Balduíno Freire"
-3.73088828651645,-38.5552310943604,16,"R. do Canal"
-3.75844535024082,-38.5457468032837,17,"R. Edite Braga"
-3.80854686746702,-38.6090040206909,17,"R. José Maurício"
-3.70324470703266,-38.5753154754639,20,"R. São Jorge"
-3.83423882438931,-38.5257267951965,4,"R. Duzentos e Seis"
-3.82227075020349,-38.5558104515076,6,"R. Dois"
-3.80146003418099,-38.6023092269897,12,"R. Maranguape"
-3.71240936692351,-38.5842418670654,13,"R. Astrogildo Fontoura"
-3.72643453835597,-38.5343742370605,14,"R. Liberato Barroso"
-3.7466046980088,-38.5560035705566,14,"Av. Francisca Clotilde"
-3.76409797385541,-38.5345888137817,17,"R. Armando Monteiro"
-3.7673096754765,-38.5412192344666,20,"R. Tianguá"
-3.82498980857272,-38.516263961792,21,"R. Cinco"
-3.74977364055145,-38.5249757766724,23,"R. Guilherme Moreira"
-3.75206469320878,-38.5241603851318,18,"R. José Euclydes"
-3.71960398656051,-38.5112857818604,21,"R. João Cordeiro"
-3.75540490874731,-38.5684704780579,0,"R. Espírito Santo"
-3.77450384407523,-38.5746288299561,2,"R. Bem-te-vi"
-3.71009679815714,-38.574800491333,10,"R. Prof. Ari de Sá Cavalcante"
-3.81404929295415,-38.4812235832214,10,"R. Dr. Esmerino Parente"
-3.83085609408668,-38.4784340858459,10,"R. Prof. José Henrique"
-3.75872369998895,-38.48060131073,20,"R. Prof. Isaías Gomes"
-3.78101280241221,-38.607759475708,20,"R. José Torres"
-3.84087578797718,-38.5150194168091,23,"R. Domingos Alves Ribeiro"
-3.78632270591875,-38.5482358932495,3,"R. Vila Rica"
-3.75816700040385,-38.5670757293701,10,"R. Rio Grande do Norte"
-3.71223806574107,-38.5652732849121,11,"R. Teodoro Cabral"
-3.74448492598194,-38.5245680809021,12,"R. Sousa Girão"
-3.82387649437761,-38.5434937477112,13,"R. Michele"
-3.75981568660442,-38.5646295547485,13,"R. Rio Grande do Norte"
-3.75112257882444,-38.5278725624085,15,"R. Monteiro Lobato"
-3.79178245177483,-38.5421419143677,17,"R. Caramuru"
-3.70971136944088,-38.5596299171448,6,"R. Vicente Sabóia"
-3.76155001547662,-38.5620760917664,7,"R. Rio Grande do Norte"
-3.77964249945205,-38.6084246635437,8,"R. Londrina"
-3.84117552059917,-38.5169291496277,9,"R. Jaborandi"
-3.73921759145616,-38.5966229438782,18,"R. São Vicente de Paula"
-3.77452525520241,-38.5570120811462,18,"R. Júlio Verne"
